battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
"75WHrs,",7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Asus,26.990.000,16GB,LPDDR5X,2880 x 1800,14.0,512GB,1.30 kg
52.5Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,41.090.000,32GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
57Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,60.190.000,32GB,LPDDR5x,2880x1800,14.0,1TB,1.09 kg
54.7Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,43.290.000,32GB,LPDDR5x,1920x1200,13.3,1TB,1.17 kg
52.5Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,39.290.000,16GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
54.7Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,44.390.000,32GB,LPDDR5x,1920x1200,13.3,1TB,1.17 kg
46.5Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,29.390.000,16GB,DDR5,1920x1200,16,512GB,1.77 kg
52.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,29.690.000,16GB,DDR5,1920x1200,16.0,512GB,Black (Đen)
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,35.290.000,32GB,LPDDR5,2880 x 1800,14,512GB,Đèn nền bàn phím
41WHr,5600MHz,Ultra5-125H,125H,Intel,"4.50GHz,",Intel®,HP,21.590.000,16GB,DDR5,1920 x 1080,15.6,1TB,1.59 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,43.890.000,32GB,DDR5,1920x1200,14.5,512GB,1.61kg
84WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,37.990.000,16GB,LPDDR5x,2048x1280,16.0,512GB,1.91 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,50.990.000,32GB,DDR5,1920x1200,14.5,512GB,1.61kg
75WH,5200MHz,i5,13500H,Intel,"4.70GHz,",NVIDIA,Lenovo,25.990.000,16GB,LPDDR5,2560x1600,16.0,1TB,1.95 kg
"50WHrs,",3200MHz,i7,12700H,Intel,"4.70GHz,",Intel,Asus,20.490.000,16GB,DDR4,2880 x 1800,14,512GB,1.45 kg
43Wh,3200MHz,5,120U,Intel,"5.00GHz,",Intel,HP,17.990.000,8GB,DDR4,1920 x 1080,14-,512GB,1.52 kg
"75WHrs,",7500MHz,AI9,HX,AMD,"5.10GHz,",AMD,ASUS,33.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,Cool Silver (Bạc)
72Wh,,i5,1340P,Intel,"4.60GHz,",Intel,LG,38.990.000,16GB,LPDDR5,2880x1800,14,512GB,999 g
72Wh,6400MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,LG,36.290.000,16GB,LPDDR5X,1920x1200,14,512GB,1120 g
54WHr,5200MHz,5,120U,Intel,"5.00GHz,",Intel®,Dell,18.990.000,8GB,DDR5,1920 x 1200,14.0,512GB,1.71 kg
65WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,31.990.000,32GB,LPDDR5x,1920x1200,14.0,1TB,1.40 kg
41WHrs,3200MHz,5-120U,120U,Intel,"5.00GHz,",Intel,HP,19.990.000,16GB,DDR4,1920 x 1080,14,512GB,1.4 kg
70WHrs,8533MHz,Ultra7,258V,Intel,"4.80GHz,",Intel®,Lenovo,42.990.000,32GB,LPDDR5x,"WQXGA+, 2880x1800",15.3,1TB,1.53 kg
41WHrs,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel,HP,22.990.000,16GB,DDR4,1920 x 1080,14,512GB,1.4 kg
41WHrs,3200MHz,5-120U,120U,Intel,"5.00GHz,",Intel,HP,21.290.000,16GB,DDR4,1920 x 1080,14,512GB,1.4 kg
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,35.290.000,32GB,LPDDR5,2880 x 1800,14,512GB,Đèn nền bàn phím
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,35.290.000,32GB,LPDDR5,2880 x 1800,14,512GB,Đèn nền bàn phím
41WHrs,3200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,19.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
42WHrs,3200MHz,5,5625U,AMD,"4.30GHz,",AMD,Lenovo,12.790.000,16GB,DDR4,1920x1080,15.6,512GB,1.38 kg
54WHrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,22.490.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
59Wh,6400MHz,5,8640HS,AMD,"4.90GHz,",AMD,HP,28.990.000,16GB,LPDDR5,2880 x 1800,14,512GB,Đèn nền bàn phím
63WHrs,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Asus,27.990.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.40 kg
63WHrs,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,31.990.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.40 kg
38Wh,3200MHz,i5,1235U,Intel,"4.40GHz,",Intel®,Lenovo,13.990.000,8GB,DDR4,1920x1080,14,256GB,1.43 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,24.890.000,16GB,DDR5,1920x1200,16.0,1TB,1.81 kg
54WHrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,22.490.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
42WHrs,5600MHz,i5,1335U,Intel,"4.60GHz,",Intel,Dell,20.990.000,8GB,DDR5,1920 x 1080,14,512GB,Đen
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,26.590.000,32GB,DDR5,1920x1200,16.0,1TB,1.81 kg
