Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
75,7467,Ultra5,125.0,Intel,4.50,Intel,Asus,16,LPDDR5X,2880x1800,14.0,512.0,1.3,26990000
59,6400,5,8640.0,AMD,4.90,Amd,HP,16,LPDDR5,2880x1800,14.0,512.0,,28990000
70,8533,Ultra7,258.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,2880x1800,15.3,1024.0,1.53,42990000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5,2880x1800,14.0,512.0,,35290000
41,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.4,22990000
41,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.4,19990000
41,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.4,21290000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5,2880x1800,14.0,512.0,,35290000
41,3200,5,1334.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,19990000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,22490000
42,3200,5,5625.0,AMD,4.30,Amd,Lenovo,16,DDR4,1920x1080,15.6,512.0,1.38,12790000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,22490000
63,5600,Ultra5,125.0,Intel,4.50,Intel,Asus,16,DDR5,1920x1200,14.0,512.0,1.4,27990000
63,5600,Ultra7,155.0,Intel,4.80,Intel,Asus,16,DDR5,1920x1200,14.0,512.0,1.4,31990000
84,7467,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,16,LPDDR5x,2048x1280,16.0,512.0,1.91,37990000
72,,5,1340.0,Intel,4.60,Intel,LG,16,LPDDR5,2880x1800,14.0,512.0,0.999,38990000
43,3200,5,120.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.52,17990000
75,5200,5,13500.0,Intel,4.70,Nvidia,Lenovo,16,LPDDR5,2560x1600,16.0,1024.0,1.95,25990000
50,3200,7,12700.0,Intel,4.70,Intel,Asus,16,DDR4,2880x1800,14.0,512.0,1.45,20490000
75,7500,AI9,,AMD,5.10,Amd,ASUS,32,LPDDR5X,2880x1800,14.0,1024.0,,33990000
42,5600,5,1335.0,Intel,4.60,Intel,Dell,8,DDR5,1920x1080,14.0,512.0,,20990000
65,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.4,31990000
3,8448,EliteX1E,,Snapdragon,3.4,Qualcomm,Asus,32,LPDDR5X,2880x1620,15.6,1024.0,1.42,34990000
47,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,28990000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,DDR5,1920x1200,14.0,512.0,1.44,23490000
69.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,32,LPDDR5x,1920x1200,14.5,2048.0,1.68,60990000
45,5200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,21990000
54,5200,5,120.0,Intel,5.00,Integrated,Dell,16,DDR5,1920x1200,16.0,1024.0,,24790000
47,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,DDR5,2240x1400,14.0,1024.0,1.44,33990000
42,3200,3,1315.0,Intel,4.50,Intel,Asus,8,DDR4,1920x1080,14.0,512.0,1.4,12690000
41,,5,1235.0,Intel,4.40,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.85,15590000
57,4800,5,1335.0,Intel,4.60,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.25,27490000
54,5600,Ultra7,165.0,Intel,4.90,Intel,Dell,16,DDR5,1920x1080,15.6,512.0,1.62,32490000
41,2666,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,14.0,512.0,,16990000
