Title,Now Price,Link,Manufacturer,html_file,CPU manufacturer,CPU,CPU Speed (GHz),RAM (GB),RAM Type,Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU,Weight (kg),Battery,Charging
"Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6"" FHD/Win11",13.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u,asus,data/laptop_html/asus+1.html,Intel,1235U,1.3 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,Intel,Iris Xe,1.7 kg,42 WHrs,45 W
"Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6"" FHD/Win11",15.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u,asus,data/laptop_html/asus+2.html,Intel,1335U,1.3 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,FHD (1920 x 1080),60 Hz,Intel,Iris Xe,1.7 kg,42 Wh,45 W
"Laptop Asus TUF Gaming FA506NFR-HN006W R7 7435HS/16GB/512GB/15.6"" FHD/Nvidia GeForce RTX2050 4GB/Win11 ",17.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-gaming-fa506nfr-hn006w-r7-7435hs,asus,data/laptop_html/asus+3.html,AMD,7435HS,3.1 ,16 GB (1 thanh 16 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.3 kg,48 Wh,150 W
Laptop Asus TUF Gaming A15 FA506NF-HN005W R5 7535HS/8GB/512GB/15.6' FHD/Nvidia RTX2050 4GB/Win11,15.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nf-hn005w-r5-7535hs,asus,data/laptop_html/asus+4.html,AMD,7535HS,3.3 ,8 GB (1 thanh 8 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.3 kg,48 WHrs,150 W
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11",12.190.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u,asus,data/laptop_html/asus+5.html,AMD,7520U,2.8 Ghz,16 GB,LPDDR5,512 GB,14.0 inch,1920 x 1080 Pixels,60 Hz,AMD,Radeon,1.3 kg,42 Wh,NA
"Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14"" 2.8K/Win11",15.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-14-oled-a1405za-km264w,asus,data/laptop_html/asus+6.html,Intel,12500H,2.5 ,16 GB (2 thanh 8 GB),DDR4,512 ,14 inch,2880 x 1800 Pixels,90 ,Intel,Iris Xe,1.6 kg,50 Wh,65 W
Laptop Asus Vivobook X1504ZA-NJ1039W i7-1255U/16GB/512GB/15.6'' FHD/Win11,15.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x1504za-nj1039w-i7-1255u,asus,data/laptop_html/asus+7.html,Intel,1255U,1.7 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,Intel,Iris Xe,1.7 kg,42 WHrs,45 W
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX3050 4GB/Win11",20.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h,asus,data/laptop_html/asus+8.html,Intel,12500H,2.5 Ghz,16 GB (2 thanh 8 GB),DDR4,512 GB,15.6 inch,1920 x 1080 Pixels,144 Hz,NVIDIA,GeForce RTX 3050,2.2 kg,56 Wh,200 W
"Laptop Asus TUF Gaming FA507NUR-LP101W R7-7435HS/16GB/512GB/15.6""/GeForce RTX4050 6GB/Win11",24.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-tuf-gaming-fa507nur-lp101w-r7-7435hs,asus,data/laptop_html/asus+9.html,AMD,7435HS,3.1 ,16 GB (1 thanh 16 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4050,2.2 kg,90 WHrs,240 W
"Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14"" FHD/Win11",9.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u,asus,data/laptop_html/asus+10.html,Intel,1215U,1.2 ,8 GB (1 thanh 8 GB),DDR4,512 ,14 inch,FHD (1920 x 1080),60 Hz,Intel,UHD,1.4 kg,42 Wh,45 W
"Laptop Asus Gaming Vivobook K3605ZF-RP634W i5-12500H/16GB/512GB/16""/Nvidia GeForce RTX2050 4GB/Win11",17.390.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-gaming-vivobook-k3605zf-rp634w-i5-12500h,asus,data/laptop_html/asus+11.html,Intel,12500H,2.5 ,16 GB (1 thanh 16 GB),DDR4,512 ,16 inch,1920 x 1200 Pixels,144 ,NVIDIA,Geforce RTX 2050,1.8 kg,50 Whr,120 W
"Laptop Asus Gaming Vivobook K3605ZC-RP564W i5-12500H/16GB/512GB/16""/Nvidia GeForce RTX3050 4GB/Win11",19.390.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-gaming-k3605zc-rp564w-i5-12500h,asus,data/laptop_html/asus+12.html,Intel,12500,2.5 ,16 GB (1 thanh 16 GB),DDR4,512 ,16 inch,1920 x 1200 Pixels,144 ,NVIDIA,GeForce RTX 3050,1.8 kg,50 Whr,120 W
Laptop Asus Vivobook 15 OLED A1505VA-MA466W i5-13500H/16GB/512GB/15.6'' 2.8K/Win11,17.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma466w-i-5-13500h,asus,data/laptop_html/asus+13.html,Intel,13500H,2.6 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,2880 x 1620 Pixels,120 ,Intel,Iris Xe,1.7 kg,50 WHrs,65 W
