battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,45.990.000,16GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,50.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
64Wh,4800MHz,i9,13900H,Intel,"5.40GHz,",NVIDIA,Dell,60.990.000,16GB(1x16GB),DDR5,1920 x 1080,15.6,512GB,1.79 kg
80Wh,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Dell,36.990.000,16GB,LPDDR5,2560x1600,14,512GB,1.91 kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,20.990.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,51.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,19.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,28.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,66.990.000,32GB,DDR5,3200x2000,16,1TB,2.24 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR5,1920 x 1200,16,1TB,2.50 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,38.990.000,16GB,DDR5,1920 x 1200,16,1TB,2.50 kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,56.990.000,32GB,DDR5,2560 x 1600,16,1TB,2.50 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,42.990.000,16GB,DDR5,2560 x 1600,18,1TB,3.30 kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,58.990.000,32GB,DDR5,WQXGA,18,1TB,3.00 kg
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,18.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
Cell,3200MHz,i7,12700H,Intel,"4.70GHz,",NVIDIA,Gigabyte,33.990.000,16GB(2x8GB),DDR4,1920x1080,15.6,512GB,2.30 kg
90WHrs,5600MHz,i9,14900HX,Intel,"5.80GHz,",NNVIDIA®,MSI,51.990.000,32GB,DDR5,2560x1600,17,1TB,Cosmo Gray (Xám)
